Item,Weight,Item Code,Yield_kg_pm2,LIFE_pm2,LIFE_pkg
Wheat,110232.2753,15,0.75267,1.76E-12,2.34E-12
Wheat,64683.09247,15,0.75267,1.76E-12,2.34E-12
Wheat,63766.6415,15,0.75267,1.76E-12,2.34E-12
Wheat,23025.36085,15,0.75267,1.76E-12,2.34E-12
Wheat,21614.13833,15,0.75267,1.76E-12,2.34E-12
Wheat,11266.34517,15,0.73015,4.58E-12,6.27E-12
Wheat,10909.44641,15,0.73015,4.58E-12,6.27E-12
Wheat,7718.679228,15,0.69284,7.31E-12,1.05E-11
Wheat,7495.102664,15,0.63194,2.08E-12,3.29E-12
Wheat,7008.66743,15,0.69284,7.31E-12,1.05E-11
Wheat,4603.427621,15,0.49753,4.09E-12,8.22E-12
Wheat,4032.959329,15,0.73015,4.58E-12,6.27E-12
Wheat,2869.342397,15,0.49753,4.09E-12,8.22E-12
Wheat,2447.115195,15,0.73015,4.58E-12,6.27E-12
Wheat,2198.279242,15,0.69284,7.31E-12,1.05E-11
Wheat,2113.95123,15,0.63194,2.08E-12,3.29E-12
Wheat,1801.616845,15,0.69284,7.31E-12,1.05E-11
Wheat,1749.726589,15,0.63194,2.08E-12,3.29E-12
Wheat,1665.759183,15,0.73015,4.58E-12,6.27E-12
Wheat,1617.030442,15,0.63194,2.08E-12,3.29E-12
Beans; dry,13.89718697,176,0.22498,5.79E-12,2.57E-11
Beans; dry,13.11637712,176,0.22498,5.79E-12,2.57E-11
Beans; dry,7.283373395,176,0.19016,9.85E-12,5.18E-11
Beans; dry,7.090966812,176,0.19016,9.85E-12,5.18E-11
Beans; dry,5.271053658,176,0.14502,1.22E-10,8.41E-10
Beans; dry,4.334249784,176,0.14502,1.22E-10,8.41E-10
Beans; dry,3.440699287,176,0.09387,1.15E-10,1.23E-09
Beans; dry,3.064107884,176,0.09387,1.15E-10,1.23E-09
Beans; dry,2.929335967,176,0.22498,5.79E-12,2.57E-11
Beans; dry,2.202638921,176,0.17599,3.39E-11,1.93E-10
Beans; dry,1.959287833,176,0.17599,3.39E-11,1.93E-10
Beans; dry,1.741444329,176,0.19016,9.85E-12,5.18E-11
Beans; dry,1.703032797,176,0.04158,4.76E-11,1.14E-09
Beans; dry,1.684619058,176,0.22498,5.79E-12,2.57E-11
Beans; dry,1.6130306,176,0.17214,1.13E-10,6.59E-10
Beans; dry,1.555407089,176,0.17214,1.13E-10,6.59E-10
Beans; dry,1.544895839,176,0.04158,4.76E-11,1.14E-09
Beans; dry,1.038632636,176,0.13035,2.17E-10,1.66E-09
Beans; dry,0.964041884,176,0.14502,1.22E-10,8.41E-10
Beans; dry,0.893142332,176,0.13035,2.17E-10,1.66E-09
Barley,83843.01737,44,0.55698,1.82E-12,3.26E-12
Barley,49131.93942,44,0.55698,1.82E-12,3.26E-12
Barley,48477.48202,44,0.55698,1.82E-12,3.26E-12
Barley,17529.75102,44,0.55698,1.82E-12,3.26E-12
Barley,16424.16154,44,0.55698,1.82E-12,3.26E-12
Barley,5417.199958,44,0.67627,4.65E-12,6.87E-12
Barley,4802.09964,44,0.67627,4.65E-12,6.87E-12
Barley,3126.132034,44,0.39201,1.99E-12,5.09E-12
Barley,2379.143772,44,0.41068,4.08E-12,9.95E-12
Barley,1879.24797,44,0.65427,7.29E-12,1.11E-11
Barley,1765.726277,44,0.65427,7.29E-12,1.11E-11
Barley,1623.187606,44,0.81901,1.04E-12,1.27E-12
Barley,1301.031926,44,0.67627,4.65E-12,6.87E-12
Barley,1094.483427,44,0.6053,3.18E-12,5.26E-12
Barley,1061.72923,44,0.26949,1.22E-12,4.54E-12
Barley,1049.811154,44,0.67627,4.65E-12,6.87E-12
Barley,861.6690293,44,0.6053,3.18E-12,5.26E-12
Barley,825.7938878,44,0.39201,1.99E-12,5.09E-12
Barley,805.6149234,44,0.26949,1.22E-12,4.54E-12
Barley,762.0745438,44,0.36889,2.93E-11,7.93E-11
